num,img,title,field,organizer,start_day,finish_day,homepage
86,https://www.wevity.com/upload/contest/20241128120750_7158d239.jpg,2025  협성장학생 선발,기타,(재)협성문화재단,2024-12-16,2025-01-06,http://hscf.co.kr/kor/sub6_01.php?wr_id=14545
87,https://www.wevity.com/upload/contest/20241127140522_c3123c16.jpg,2024 앰플엔 글로벌 SNS 콘텐츠 공모전,"광고, 마케팅",코리아나화장품,2024-11-27,2025-01-08,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93624
88,https://www.wevity.com/upload/contest/20241127211208_a7de3fb1.jpg,명동스퀘어 짧은 시 공모전,"문학, 글, 시나리오",서울시 중구,2024-11-27,2024-12-18,https://www.junggu.seoul.kr/contest/main.do
89,https://www.wevity.com/upload/contest/20241127202358_bd806f53.jpg,2024 고용서비스 통합네트워크 캐치프레이즈 공모전,"네이밍, 슬로건",아산고용복지+센터,2024-11-22,2024-12-06,https://www.work.go.kr/asan/newsPlace/notice/noticeDetail.do?articleSeqno=145681&articleClSeqno=1000000000¤tPage=1&subNaviMenuCd=20200
90,https://www.wevity.com/upload/contest/20241127185258_a0e3c188.jpg,서울중구시설관리공단 2024년 ESG·혁신 주민참여 아이디어 공모전,"기획, 아이디어",서울중구시설관리공단,2024-11-27,2024-12-10,https://www.e-junggu.or.kr/fmcs/1020
91,https://www.wevity.com/upload/contest/20241127182909_c8a84e76.jpg,강서구 고향사랑기부제 기금사업 아이디어 공모,"기획, 아이디어",부산광역시 강서구,2024-10-21,2024-12-09,https://www.bsgangseo.go.kr/portal/board/post/view.do?bcIdx=500&mid=0501010000&&idx=283903
92,https://www.wevity.com/upload/contest/20241126182935_8473ea45.jpg,데이지크 공식 서포터즈 데이밍 2기 모집,"대외활동, 서포터즈",주식회사 데이지크,2024-11-28,2024-12-11,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93619
93,https://www.wevity.com/upload/contest/20241126172312_775ccc45.jpg,[대구한국일보]  2025 미스코리아 미스대구•경북 후보자 모집,"예체능, 미술, 음악","한국일보, 글로벌 E&B",2024-11-26,2025-05-30,http://www.mpluskorea.com/
94,https://www.wevity.com/upload/contest/20241126174639_2b0e7f04.jpg,LG전자 베스트샵 온라인 콘텐츠 공모전,"영상, UCC, 사진",하이프라자,2024-11-22,2024-12-06,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=93611
95,https://www.wevity.com/upload/contest/20241126141213_602b5b93.jpg,2025 스페이스다온 졸업작품 재전시 공모전,"예체능, 미술, 음악",(주)스페이스다온,2024-11-25,2024-12-08,홈페이지 링크 없음
96,https://www.wevity.com/upload/contest/20241126135614_74f89b5d.jpg,서울특별시치과의사회 대학생 홍보단 설덴프(서울덴탈프렌즈) 2기 모집,"대외활동, 서포터즈",서울특별시치과의사회,2024-12-09,2024-12-22,https://www.sda.or.kr/bbs/board.php?tbl=notice&mode=VIEW&num=449
97,https://www.wevity.com/upload/contest/20241126193340_d45b9100.jpg,지리산국립공원 재난·안전사고 예방 아이디어 공모전,"기획, 아이디어",지리산국립공원 경남사무소,2024-11-25,2024-12-15,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2411-0000922
98,https://www.wevity.com/upload/contest/20241126190710_c86a91fd.jpg,수원 겨울 릴스 영상·사진 공모전 (수원 30초 프로젝트),"영상, UCC, 사진",수원특례시,2024-11-25,2024-12-18,https://blog.naver.com/suwonloves/223671975180
99,https://www.wevity.com/upload/contest/20241126035200_a3cb02d6.jpg,2024 17금 소설 공모전,"문학, 글, 시나리오",테일크루,2024-11-25,2024-12-31,https://tally.so/r/np0RgZ
100,https://www.wevity.com/upload/contest/20241126034411_a2bc1b70.jpg,"전국 초,중,고교생 대상 AI그림그리기 대회 공모전","디자인, 캐릭터, 웹툰",AI융합교육연구회,2024-11-01,2024-12-06,https://cafe.naver.com/ai4allus/42
101,https://www.wevity.com/upload/contest/20241126034010_0f6abeb1.jpg,경실련 블로그 경이로운 기자단 4기 모집,"대외활동, 서포터즈",경실련,2024-11-25,2025-01-01,https://ccej.or.kr/posts/OEtLLK8
102,https://www.wevity.com/upload/contest/20241126033038_d5c067d0.jpg,대학생 서포터즈 키플크루 (KISDI PLUS CREW) 모집,"대외활동, 서포터즈",정보통신정책연구원,2024-11-25,2024-12-15,https://www.kisdi.re.kr
103,https://www.wevity.com/upload/contest/20241125164727_badb8ddc.jpg,사옹원 소비자패널 20기 마마 모집,"대외활동, 서포터즈",(주)사옹원,2024-11-25,2024-12-22,https://blog.naver.com/saongwonno1/223671866242
104,https://www.wevity.com/upload/contest/20241125111739_d3289552.jpg,2025년 제13기 인천시 SNS 서포터즈 모집,"대외활동, 서포터즈",인천광역시,2024-11-25,2024-12-15,https://blog.naver.com/incheontogi/223671885486
105,https://www.wevity.com/upload/contest/20241126054257_13726b4c.jpg,2025 동계 청소년 IT학술대회 (참가비 있음),"논문, 리포트",한국정보기술진흥원,2024-11-18,2025-01-12,http://kitpa.org/research/conference/2025w
